CONM,TIC,CIK,SIC
OCEANEERING INTERNATIONAL,OII,0000073756,1389
BRISTOW GROUP INC,BRSWQ,0000073887,4522
OIL DRI CORP AMERICA,ODC,0000074046,3290
OLIN CORP,OLN,0000074303,2810
OVERSEAS SHIPHOLDING GROUP,OSG,0000075208,4412
OWENS & MINOR INC,OMI,0000075252,5047
P & F INDUSTRIES  -CL A,PFIN,0000075340,3540
PACCAR INC,PCAR,0000075362,3711
PACKAGING CORP OF AMERICA,PKG,0000075677,2650
PARK AEROSPACE CORP,PKE,0000076267,3672
PARK OHIO HOLDINGS CORP,PKOH,0000076282,5072
PARKER DRILLING CO,PKDC,0000076321,1381
PARKER-HANNIFIN CORP,PH,0000076334,3490
PATRICK INDUSTRIES INC,PATK,0000076605,2430
PENTAIR PLC,PNR,0000077360,3561
PEPSICO INC,PEP,0000077476,2080
TUTOR PERINI CORP,TPC,0000077543,1540
PFIZER INC,PFE,0000078003,2834
ESSENTIAL UTILITIES INC,WTRG,0000078128,4941
AGILYSYS INC,AGYS,0000078749,7372
PITNEY BOWES INC,PBI,0000078814,3579
BRINKS CO,BCO,0000078890,7381
PPG INDUSTRIES INC,PPG,0000079879,2851
PREFORMED LINE PRODUCTS CO,PLPC,0000080035,3640
NATIONAL PRESTO INDS INC,NPK,0000080172,3480
POWELL INDUSTRIES INC,POWL,0000080420,3613
PROCTER & GAMBLE CO,PG,0000080424,2840
QUAKER CHEMICAL CORP,KWR,0000081362,2990
U S LIME & MINERALS,USLM,0000082020,1400
RAVEN INDUSTRIES INC,RAVN,0000082166,3080
REGAL BELOIT CORP,RBC,0000082811,3621
RITE AID CORP,RAD,0000084129,5912
ROGERS CORP,ROG,0000084748,3672
ROLLINS INC,ROL,0000084839,7340
ROWAN COMPANIES PLC,RDC,0000085408,1381
RYDER SYSTEM INC,R,0000085961,7510
NEONODE INC,NEON,0000087050,3663
SCHLUMBERGER LTD,SLB,0000087347,1389
SPX CORP,SPXC,0000088205,3585
INTRICON CORP,IIN,0000088790,3842
SEMTECH CORP,SMTC,0000088941,3674
SENECA FOODS CORP,SENEA,0000088948,2033
SERVICE CORP INTERNATIONAL,SCI,0000089089,7200
SERVOTRONICS INC,SVT,0000089140,3621
MUELLER INDUSTRIES,MLI,0000089439,3350
SHERWIN-WILLIAMS CO,SHW,0000089800,2851
SIFCO INDUSTRIES,SIF,0000090168,3724
SMITH (A.O.),AOS,0000091142,3630
SMUCKER (JM) CO,SJM,0000091419,2033
SNAP-ON INC,SNA,0000091440,3420
SONOCO PRODUCTS CO,SON,0000091767,2650
SOUTH JERSEY INDUSTRIES INC,SJI,0000091928,4924
SOUTHWEST AIRLINES,LUV,0000092380,4512
VOLITIONRX LTD,VNRX,0000093314,2835
STANDARD MOTOR PRODS,SMP,0000093389,3690
CHEVRON CORP,CVX,0000093410,2911
STANLEY BLACK & DECKER INC,SWK,0000093556,3540
STARRETT (L.S.) CO  -CL A,SCX,0000093676,3420
STEPAN CO,SCL,0000094049,2840
STURM RUGER & CO INC,RGR,0000095029,3480
SUPERIOR INDUSTRIES INTL,SUP,0000095552,3714
SYNALLOY CORP,SYNL,0000095953,3317
TAYLOR DEVICES INC,TAYD,0000096536,3569
TECHNICAL COMMUNICATIONS CP,TCCO,0000096699,3663
SUNLINK HEALTH SYSTEMS INC,SSY,0000096793,5912
TEJON RANCH CO,TRC,0000096869,0100
TEL-INSTRUMENT ELECTRONICS,TIKK,0000096885,3825
TELEFLEX INC,TFX,0000096943,3841
TENNANT CO,TNC,0000097134,3580
TERADYNE INC,TER,0000097210,3825
TEREX CORP,TEX,0000097216,3530
TEXAS INSTRUMENTS INC,TXN,0000097476,3674
THERMO FISHER SCIENTIFIC INC,TMO,0000097745,3826
TIDEWATER INC,TDW,0000098222,4400
TIFFANY & CO,TIF,0000098246,5944
TSR INC,TSRI,0000098338,7371
TIMKEN CO,TKR,0000098362,3562
TOOTSIE ROLL INDUSTRIES INC,TR,0000098677,2060
TRANSCAT INC,TRNS,0000099302,5084
TRINITY INDUSTRIES,TRN,0000099780,3743
TWIN DISC INC,TWIN,0000100378,3560
TYSON FOODS INC  -CL A,TSN,0000100493,2011
UNITED AIRLINES HOLDINGS INC,UAL,0000100517,4512
ARGAN INC,AGX,0000100591,8711
UNIFI INC,UFI,0000100726,2200
UNION PACIFIC CORP,UNP,0000100885,4011
UNITED-GUARDIAN INC,UG,0000101295,2834
U S ANTIMONY CORP,UAMY,0000101538,3330
U S ENERGY CORP/WY,USEG,0000101594,1311
RAYTHEON TECHNOLOGIES CORP,RTX,0000101829,3724
SPRINT CORP,S,0000101830,4812
UNIVERSAL ELECTRONICS INC,UEIC,0000101984,3651
UNIVERSAL CORP/VA,UVV,0000102037,5150
UNIVERSAL SECURITY INSTRUMNT,UUU,0000102109,3669
VALMONT INDUSTRIES INC,VMI,0000102729,3440
VSE CORP,VSEC,0000102752,8711
VEECO INSTRUMENTS INC,VECO,0000103145,3559
VF CORP,VFC,0000103379,2320
VILLAGE SUPER MARKET  -CL A,VLGEA,0000103595,5411
VISHAY INTERTECHNOLOGY INC,VSH,0000103730,3670
VOLT INFO SCIENCES INC,VOLT,0000103872,7363
WALMART INC,WMT,0000104169,5331
GRAHAM HOLDINGS CO,GHC,0000104889,8200
WATSCO INC,WSO,0000105016,5070
WD-40 CO,WDFC,0000105132,2890
WEIGHT WATCHERS INTL INC,WW,0000105319,7200
WEIS MARKETS INC,WMK,0000105418,5411
EMCOR GROUP INC,EME,0000105634,1731
WEST PHARMACEUTICAL SVSC INC,WST,0000105770,3060
WESTERN DIGITAL CORP,WDC,0000106040,3572
WEYCO GROUP INC,WEYS,0000106532,5130
WILEY (JOHN) & SONS  -CL A,JW.A,0000107140,2721
WILLIAMS COS INC,WMB,0000107263,4922
WINNEBAGO INDUSTRIES,WGO,0000107687,3790
WOODWARD INC,WWD,0000108312,3620
WORTHINGTON INDUSTRIES,WOR,0000108516,3310
YORK WATER CO,YORW,0000108985,4941
SPECTRUM BRND HLDG INC,SPB,0000109177,3420
TJX COS INC (THE),TJX,0000109198,5651
APPLIED INDUSTRIAL TECH INC,AIT,0000109563,5080
RPM INTERNATIONAL INC,RPM,0000110621,2890
JOHNSON & JOHNSON,JNJ,0000200406,2834
L3HARRIS TECHNOLOGIES INC,LHX,0000202058,3812
VARIAN MEDICAL SYSTEMS INC,VAR,0000203527,3845
COEUR MINING INC,CDE,0000215466,1040
HAVERTY FURNITURE,HVT,0000216085,5712
ITT INC,ITT,0000216228,3561
TEXTRON INC,TXT,0000217346,3721
TOUCHPOINT GROUP HOLDINGS,TGHI,0000225211,7812
COVANTA HOLDING CORP,CVA,0000225648,4950
NATURES SUNSHINE PRODS INC,NATR,0000275053,2834
CONNECTICUT WATER SVC INC,CTWS,0000276209,4941
PURE CYCLE CORP,PCYO,0000276720,4950
FEDERAL SIGNAL CORP,FSS,0000277509,3711
CSX CORP,CSX,0000277948,4011
PIER 1 IMPORTS INC/DE,PIRRQ,0000278130,5700
CAVCO INDUSTRIES INC,CVCO,0000278166,2452
VICON INDUSTRIES INC,VCON,0000310056,3669
SENSIENT TECHNOLOGIES CORP,SXT,0000310142,2860
MERCK & CO,MRK,0000310158,2834
STANDEX INTERNATIONAL CORP,SXI,0000310354,3585
STRYKER CORP,SYK,0000310764,3842
HAEMONETICS CORP,HAE,0000313143,3841
DANAHER CORP,DHR,0000313616,3826
CHURCH & DWIGHT INC,CHD,0000313927,2840
MCEWEN MINING INC,MUX,0000314203,1040
VALARIS PLC,VAL,0000314808,1381
DEERE & CO,DE,0000315189,3523
ROBERT HALF INTL INC,RHI,0000315213,7363
HURCO COS INC,HURC,0000315374,3823
UQM TECHNOLOGIES INC,UQM,0000315449,3621
ENZO BIOCHEM INC,ENZ,0000316253,8071
FIELDPOINT PETROLEUM CORP,FPPP,0000316736,1311
COCA COLA CONSOLIDATED INC,COKE,0000317540,2086
DIGITAL TURBINE INC,APPS,0000317788,7372
AMGEN INC,AMGN,0000318154,2836
ABEONA THERAPEUTICS INC,ABEO,0000318306,2836
TEAM INC,TISI,0000318833,8734
KEY ENERGY SERVICES INC,KEGX,0000318996,1381
ENSERVCO CORP,ENSV,0000319458,1389
MAXWELL TECHNOLOGIES INC,MXWL,0000319815,3612
NIKE INC  -CL B,NKE,0000320187,3021
APPLE INC,AAPL,0000320193,3663
INTELLIGENT SYSTEM CORP,INS,0000320340,7372
PIONEER ENERGY SERVICES CORP,PESXQ,0000320575,1389
PHI INC,PHIKQ,0000350403,4522
AUTONATION INC,AN,0000350698,5500
OCEAN BIO-CHEM INC,OBCI,0000350737,2842
ITERIS INC,ITI,0000350868,8711
ELECTRO-SENSORS INC,ELSE,0000351789,3823
SILVERBOW RESOURCES INC,SBOW,0000351817,1311
SUNOPTA INC,STKL,0000351834,2086
DATA I/O CORP,DAIO,0000351998,3825
ALLIANT ENERGY CORP,LNT,0000352541,4931
FOSTER (LB) CO,FSTR,0000352825,5051
UNIVERSAL HEALTH SVCS INC,UHS,0000352915,8062
TELIGENT INC,TLGT,0000352998,2834
AEGION CORP,AEGN,0000353020,1623
AIR T INC,AIRT,0000353184,4513
QUIDEL CORP,QDEL,0000353569,2835
HAWAIIAN ELECTRIC INDS,HE,0000354707,4911
FLIR SYSTEMS INC,FLIR,0000354908,3812
HOME DEPOT INC,HD,0000354950,5211
SHENANDOAH TELECOMMUN CO,SHEN,0000354963,4812
FONAR CORP,FONR,0000355019,8071
GENTEX CORP,GNTX,0000355811,3714
RICHARDSON ELECTRONICS LTD,RELL,0000355948,5065
CSP INC,CSPI,0000356037,7373
NEW JERSEY RESOURCES CORP,NJR,0000356309,4924
HOVNANIAN ENTRPRS INC  -CL A,HOV,0000357294,1531
RCM TECHNOLOGIES INC,RCMT,0000700841,7363
ATRION CORP,ATRI,0000701288,3841
SIX FLAGS ENTERTAINMENT CORP,SIX,0000701374,7996
ENVELA CORP,ELA,0000701719,5990
L BRANDS INC,LB,0000701985,5600
NORFOLK SOUTHERN CORP,NSC,0000702165,4011
BRINKER INTL INC,EAT,0000703351,5812
LAWSON PRODUCTS,LAWS,0000703604,5072
TIVITY HEALTH INC,TVTY,0000704415,8090
ONTO INNOVATION INC,ONTO,0000704532,3823
AVID BIOSERVICES INC,CDMO,0000704562,2835
AARON'S INC,AAN,0000706688,7359
UTAH MEDICAL PRODUCTS INC,UTMD,0000706698,3845
DIGIRAD CORP,DRAD,0000707388,8071
LAM RESEARCH CORP,LRCX,0000707549,3559
NEXTGEN HEALTHCARE INC,NXGN,0000708818,7372
MCDERMOTT INTL INC,MDRIQ,0000708819,8711
PAR TECHNOLOGY CORP,PAR,0000708821,3578
QUANTUM CORP,QMCO,0000709283,3572
NEOGEN CORP,NEOG,0000711377,2834
COOPER COS INC (THE),COO,0000711404,3851
ACCO BRANDS CORP,ACCO,0000712034,2780
ELECTRONIC ARTS INC,EA,0000712515,7372
AMERICAN SOFTWARE  -CL A,AMSWA,0000713425,7372
SORL AUTO PARTS INC,SORL,0000714284,3714
ANIXA BIOSCIENCES INC,ANIX,0000715446,2836
INTERFACE INC,TILE,0000715787,2273
DOMINION ENERGY INC,D,0000715957,4911
YRC WORLDWIDE INC,YRCW,0000716006,4213
CINCINNATI BELL INC,CBB,0000716133,4813
GRAHAM CORP,GHM,0000716314,3443
READING INTL INC  -CL A,RDI,0000716634,7830
REGIS CORP/MN,RGS,0000716643,7200
HEXCEL CORP,HXL,0000717605,2821
VALUE LINE INC,VALU,0000717720,2741
ACTIVISION BLIZZARD INC,ATVI,0000718877,7372
STAAR SURGICAL CO,STAA,0000718937,3851
APYX MEDICAL CORP,APYX,0000719135,3845
ISRAMCO INC,ISRL,0000719209,1311
GIGA-TRONICS INC,GIGA,0000719274,3670
HECLA MINING CO,HL,0000719413,1040
KEY TRONIC CORP,KTCC,0000719733,3670
WILLIAMS-SONOMA INC,WSM,0000719955,5961
BIOANALYTICAL SYSTEMS INC,BASI,0000720154,8731
AMTECH SYSTEMS INC,ASYS,0000720500,3559
DYNATRONICS CORP,DYNT,0000720875,3845
CARDINAL HEALTH INC,CAH,0000721371,5122
CCA INDUSTRIES INC,CAWW,0000721447,2844
TOTAL SYSTEM SERVICES INC,TSS,0000721683,7389
NORTECH SYSTEMS INC,NSYS,0000722313,3679
HANGER INC,HNGR,0000722723,8093
IMMUNOMEDICS INC,IMMU,0000722830,2835
MICRON TECHNOLOGY INC,MU,0000723125,3674
CINTAS CORP,CTAS,0000723254,7200
PAYCHEX INC,PAYX,0000723531,8721
CULP INC,CULP,0000723603,2211
AVIS BUDGET GROUP INC,CAR,0000723612,7510
MESA LABORATORIES INC,MLAB,0000724004,3823
FREDS INC,FREDQ,0000724571,5331
NVE CORP,NVEC,0000724910,3674
TRIBUNE MEDIA CO,TRCO,0000726513,4833
CASEYS GENERAL STORES INC,CASY,0000726958,5412
ACCELERATE DIAGNOSTICS INC,AXDX,0000727207,2835
CADIZ INC,CDZI,0000727273,4941
ENZON PHARMACEUTICALS INC,ENZN,0000727510,2836
ISORAY INC,ISR,0000728387,2836
HUNT (JB) TRANSPRT SVCS INC,JBHT,0000728535,4213
BEL FUSE INC,BELFB,0000729580,3677
CALAMP CORP,CAMP,0000730255,3663
THOR INDUSTRIES INC,THO,0000730263,3790
REPLIGEN CORP,RGEN,0000730272,2836
ADTALEM GLOBAL EDUCATION INC,ATGE,0000730464,8200
HEALTHCARE SERVICES GROUP,HCSG,0000731012,7340
ATMOS ENERGY CORP,ATO,0000731802,4924
TRIO-TECH INTERNATIONAL,TRT,0000732026,3559
VERIZON COMMUNICATIONS INC,VZ,0000732712,4812
AT&T INC,T,0000732717,4812
CONTINENTAL RESOURCES INC,CLR,0000732834,1311
LIVERAMP HOLDINGS INC,RAMP,0000733269,7370
TORO CO,TTC,0000737758,3523
AEMETIS INC,AMTX,0000738214,2860
R F INDUSTRIES LTD,RFIL,0000740664,3678
HOOPER HOLMES INC,HPHWQ,0000741815,8090
INVACARE CORP,IVC,0000742112,3842
RPC INC,RES,0000742278,1389
SPARTAN MOTORS INC,SPAR,0000743238,3711
MAXIM INTEGRATED PRODUCTS,MXIM,0000743316,3674
XILINX INC,XLNX,0000743988,3674
REX AMERICAN RESOURCES CORP,REX,0000744187,2860
CELLDEX THERAPEUTICS INC,CLDX,0000744218,2836
APPLIED DNA SCIENCES INC,APDN,0000744452,3669
AMERICAN SHARED HSPTL SERV,AMS,0000744825,8090
ST JOE CO,JOE,0000745308,7011
ROSS STORES INC,ROST,0000745732,5651
GLOWPOINT INC -OLD,GLOW.,0000746210,
EXPEDITORS INTL WASH INC,EXPD,0000746515,4731
BRADY CORP,BRC,0000746598,3990
UNISYS CORP,UIS,0000746838,7373
NTN BUZZTIME INC,NTN,0000748592,7370
GARTNER INC,IT,0000749251,8700
CELSION CORP,CLSN,0000749647,2836
ICAD INC,ICAD,0000749660,3845
SCIENTIFIC GAMES CORP,SGMS,0000750004,3570
VIRCO MFG. CORP,VIRC,0000751365,2531
