CONM,TIC,CIK
STANDARD MOTOR PRODS,SMP,93389
STANLEY BLACK & DECKER INC,SWK,93556
STATE STREET CORP,STT,93751
STEPAN CO,SCL,94049
STEWART INFORMATION SERVICES,STC,94344
STRYKER CORP,SYK,310764
NAVIENT CORP,NAVI,1593538
STURM RUGER & CO INC,RGR,95029
SUNTRUST BANKS INC,STI,750556
SUPERIOR INDUSTRIES INTL,SUP,95552
SILVERBOW RESOURCES INC,SBOW,351817
TRINITY PLACE HOLDINGS INC,TPHS,724742
SYNALLOY CORP,SYNL,95953
TEAM INC,TISI,318833
TEJON RANCH CO,TRC,96869
ALLEGHENY TECHNOLOGIES INC,ATI,1018963
TELEFLEX INC,TFX,96943
TELEPHONE & DATA SYSTEMS INC,TDS,1051512
TENNANT CO,TNC,97134
TENNECO INC,TEN,1024725
TERADYNE INC,TER,97210
TEXAS INSTRUMENTS INC,TXN,97476
TEXTRON INC,TXT,217346
THERMO FISHER SCIENTIFIC INC,TMO,97745
TIDEWATER INC,TDW,98222
SIX FLAGS ENTERTAINMENT CORP,SIX,701374
TIMKEN CO,TKR,98362
TOOTSIE ROLL INDUSTRIES INC,TR,98677
TOTAL SYSTEM SERVICES INC,TSS,721683
TRIBUNE MEDIA CO,TRCO,726513
TRINITY INDUSTRIES,TRN,99780
TYLER TECHNOLOGIES INC,TYL,860731
UNITED AIRLINES HOLDINGS INC,UAL,100517
USG CORP,USG,757011
UNICO AMERICAN CORP,UNAM,100716
UNION PACIFIC CORP,UNP,100885
UNITED-GUARDIAN INC,UG,101295
UMB FINANCIAL CORP,UMBF,101382
UNITED PARCEL SERVICE INC,UPS,1090727
U S ANTIMONY CORP,UAMY,101538
U S ENERGY CORP/WY,USEG,101594
RAYTHEON TECHNOLOGIES CORP,RTX,101829
SCIENTIFIC GAMES CORP,SGMS,750004
UNITIL CORP,UTL,755001
SENSIENT TECHNOLOGIES CORP,SXT,310142
UNIVERSAL HEALTH SVCS INC,UHS,352915
UTAH MEDICAL PRODUCTS INC,UTMD,706698
VSE CORP,VSEC,102752
VALMONT INDUSTRIES INC,VMI,102729
VEECO INSTRUMENTS INC,VECO,103145
VISHAY INTERTECHNOLOGY INC,VSH,103730
VULCAN MATERIALS CO,VMC,1396009
GRAHAM HOLDINGS CO,GHC,104889
WATSCO INC,WSO,105016
WEIS MARKETS INC,WMK,105418
WEST PHARMACEUTICAL SVSC INC,WST,105770
WEYCO GROUP INC,WEYS,106532
WILLIAMS COS INC,WMB,107263
J. ALEXANDER'S HOLDINGS INC,JAX,1617227
ALLIANT ENERGY CORP,LNT,352541
XEROX HOLDINGS CORP,XRX,1770450
KEY ENERGY SERVICES INC,KEGX,318996
YRC WORLDWIDE INC,YRCW,716006
YORK WATER CO,YORW,108985
ZIONS BANCORPORATION NA,ZION,109380
WHITE MTNS INS GROUP LTD,WTM,776867
QUALYS INC,QLYS,1107843
STIFEL FINANCIAL CORP,SF,720672
LCI INDUSTRIES,LCII,763744
CAS MEDICAL SYSTEMS INC,CASM,764579
ASSOCIATED BANC-CORP,ASB,7789
NMI HOLDINGS INC,NMIH,1547903
TRUIST FINANCIAL CORP,TFC,92230
VALLEY NATIONAL BANCORP,VLY,714310
BLUEGREEN VACATNS CORP,BXG,778946
FIRST MIDWEST BANCORP INC,FMBI,702325
NOBLE CORP PLC,NE,1458891
ACURA PHARMACEUTICALS INC,ACUR,786947
INTELSAT SA,I,1525773
ENVELA CORP,ELA,701719
MORGAN STANLEY,MS,895421
PRICE (T. ROWE) GROUP,TROW,1113169
MICROSOFT CORP,MSFT,789019
REPLIGEN CORP,RGEN,730272
CYPRESS SEMICONDUCTOR CORP,CY,791915
AMAG PHARMACEUTICALS INC,AMAG,792977
XOMA CORP,XOMA,791908
ASTEC INDUSTRIES INC,ASTE,792987
WERNER ENTERPRISES INC,WERN,793074
RESEARCH FRONTIERS INC,REFR,793524
HARLEY-DAVIDSON INC,HOG,793952
SKYWEST INC,SKYW,793733
HI-CRUSH INC,HCR,1549848
GARTNER INC,IT,749251
WATTS WATER TECHNOLOGIES INC,WTS,795403
NVR INC,NVR,906163
WORLD FUEL SERVICES CORP,INT,789460
ALTICE USA INC,ATUS,1702780
ST JOE CO,JOE,745308
HARTE HANKS INC,HHS,45919
DAILY JOURNAL CORP,DJCO,783412
VALHI INC,VHI,59255
ENCOMPASS HEALTH CORP,EHC,785161
P.A.M. TRANSPORTATION SVCS,PTSI,798287
CNO FINANCIAL GROUP INC,CNO,1224608
M/I HOMES INC,MHO,799292
MARTEN TRANSPORT LTD,MRTN,799167
FISERV INC,FISV,798354
ABEONA THERAPEUTICS INC,ABEO,318306
APYX MEDICAL CORP,APYX,719135
UNUM GROUP,UNM,5513
SUNOPTA INC,STKL,351834
PILGRIM'S PRIDE CORP,PPC,802481
CORELOGIC INC,CLGX,36047
HEARTLAND EXPRESS INC,HTLD,799233
CERNER CORP,CERN,804753
ICAD INC,ICAD,749660
MARKEL CORP,MKL,1096343
ORASURE TECHNOLOGIES INC,OSUR,1116463
FRP HOLDINGS INC,FRPH,844059
INCOME OPPORTUNITY RLTY INVS,IOR,949961
CADIZ INC,CDZI,727273
SYNOVUS FINANCIAL CORP,SNV,18349
RADNET INC,RDNT,790526
CYTRX CORP,CYTR,799698
IMMUCELL CORP,ICCC,811641
RLI CORP,RLI,84246
CADENCE DESIGN SYSTEMS INC,CDNS,813672
OPPENHEIMER HOLDINGS INC,OPY,791963
PEDEVCO CORP,PED,1141197
EBIX INC,EBIX,814549
MBIA INC,MBI,814585
MIDDLEBY CORP,MIDD,769520
CPS TECHNOLOGIES CORP,CPSH,814676
CELGENE CORP,CELG,816284
CONMED CORP,CNMD,816956
GCI LIBERTY INC,GLIBA,808461
DENTSPLY SIRONA INC,XRAY,818479
VIACOMCBS INC,VIAC,813828
ZOETIS INC,ZTS,1555280
PSYCHEMEDICS CORP,PMD,806517
HERON THERAPEUTICS INC,HRTX,818033
THERMOGENESIS HOLDINGS INC,THMO,811212
REGULUS THERAPEUTICS INC,RGLS,1505512
CAMBREX CORP,CBM,820081
MR COOPER GROUP INC,COOP,933136
VECTOR GROUP LTD,VGR,59440
SCHWAB (CHARLES) CORP,SCHW,316709
CLEAN HARBORS INC,CLH,822818
ALBANY INTL CORP  -CL A,AIN,819793
CYBEROPTICS CORP,CYBE,768411
MCCLATCHY CO  -CL A,MNIQQ,1056087
FULTON FINANCIAL CORP,FULT,700564
WESTAMERICA BANCORPORATION,WABC,311094
HERBALIFE NUTRITION LTD,HLF,1180262
AMPHENOL CORP,APH,820313
AKORN INC,AKRX,3116
POLARIS INC,PII,931015
INTERCEPT PHARMA INC,ICPT,1270073
PIONEER NATURAL RESOURCES CO,PXD,1038357
US CELLULAR CORP,USM,821130
MANPOWERGROUP,MAN,871763
INVESTORS TITLE CO,ITIC,720858
SOTHEBY'S,BID,823094
MGM RESORTS INTERNATIONAL,MGM,789570
WASTE MANAGEMENT INC,WM,823768
EW SCRIPPS  -CL A,SSP,832428
SILVERCREST ASSET MGT,SAMG,1549966
MERCER INTL INC,MERC,1333274
FREEPORT-MCMORAN INC,FCX,831259
OFFICE DEPOT INC,ODP,800240
MERITAGE HOMES CORP,MTH,833079
ARCH COAL INC,ARCH,1037676
CORE MOLDING TECHNOLOGIES,CMT,1026655
BERKLEY (W R) CORP,WRB,11544
CINCINNATI FINANCIAL CORP,CINF,20286
MGP INGREDIENTS INC,MGPI,835011
3D SYSTEMS CORP,DDD,910638
LABORATORY CP OF AMER HLDGS,LH,920148
TOR MINERALS INTL INC,TORM,842295
WORKDAY INC,WDAY,1327811
LIFEWAY FOODS INC,LWAY,814586
1ST SOURCE CORP,SRCE,34782
OVASCIENCE INC,OVAS,1544227
VALERO ENERGY CORP,VLO,1035002
TRIMAS CORP,TRS,842633
IDEX CORP,IEX,832101
MUELLER INDUSTRIES,MLI,89439
TCF FINANCIAL CORP,TCF,19612
ARGO GROUP INTL HOLDINGS LTD,ARGO,1091748
BROWN & BROWN INC,BRO,79282
TREDEGAR CORP,TG,850429
PARATEK PHARMACEUTCLS INC,PRTK,1178711
SRAX INC,SRAX,1538217
NOVELION THERAPEUTICS INC,NVLNF,827809
MONROE CAPITAL CORP,MRCC,1512931
ABBVIE INC,ABBV,1551152
ARTISAN PARTNERS ASSET MGMT,APAM,1517302
COGNEX CORP,CGNX,851205
PEOPLE'S UNITED FINL INC,PBCT,1378946
VOYA FINANCIAL INC,VOYA,1535929
HANGER INC,HNGR,722723
LEAR CORP,LEA,842162
BOISE CASCADE CO,BCC,1328581
ZIX CORP,ZIXI,855612
SERVISFIRST BANCSHARES INC,SFBS,1430723
LATTICE SEMICONDUCTOR CORP,LSCC,855658
ADVANCED DISPOSAL SERVICES,ADSW,1585790
TAYLOR MORRISON HOME CORP,TMHC,1562476
ARROW FINANCIAL CORP,AROW,717538
ATLANTIC AMERICAN CORP,AAME,8177
BRYN MAWR BANK CORP,BMTC,802681
CENTRAL PACIFIC FINANCIAL CP,CPF,701347
DONEGAL GROUP INC,DGICA,800457
EMC INSURANCE GROUP INC,EMCI,356130
ALTISOURCE ASSET MGMT CORP,AAMC,1555074
HOUGHTON MIFFLIN HARCOURT CO,HMHC,1580156
PROTHENA CORP PLC,PRTA,1559053
CENTURY BANCORP INC/MA,CNBKA,812348
CITIZENS INC,CIA,24090
FIRST BANCORP/NC,FBNC,811589
CITY HOLDING CO,CHCO,726854
COMMUNITY BANK SYSTEM INC,CBU,723188
FIRST BANCORP P R,FBP,1057706
GLACIER BANCORP INC,GBCI,868671
FIRST MERCHANTS CORP,FRME,712534
RETROPHIN INC,RTRX,1438533
BENEFYTT TECHNOLOGIES INC,BFYT,1561387
INDEPENDENT BANK CORP/MA,INDB,776901
INDEPENDENT BANK CORP/MI,IBCP,39311
SPHERE 3D CORP,ANY,1591956
OFG BANCORP,OFG,1030469
PEOPLES BANCORP NC INC,PEBK,1093672
MERCURY GENERAL CORP,MCY,64996
NATIONAL SEC GROUP INC,NSEC,865058
NATIONAL WESTERN LIFE GROUP,NWLI,1635984
NAVIGATORS GROUP INC,NAVG,793547
OLD NATIONAL BANCORP,ONB,707179
IMMUNOGEN INC,IMGN,855654
PEOPLES BANCORP INC/OH,PEBO,318300
SVB FINANCIAL GROUP,SIVB,719739
INDEPENDENCE HOLDING CO,IHC,701869
WSFS FINANCIAL CORP,WSFS,828944
WEBSTER FINANCIAL CORP,WBS,801337
WESBANCO INC,WSBC,203596
ACNB CORP,ACNB,715579
SECURITY NATL FINL CP  -CL A,SNFCA,318673
SEACOAST BANKING CORP/FL,SBCF,730708
22ND CENTURY GROUP INC,XXII,1347858
FIRST FINL BANCORP INC/OH,FFBC,708955
BIOLIFE SOLUTIONS INC,BLFS,834365
TALOS ENERGY INC,TALO,1724965
TOMPKINS FINANCIAL CORP,TMP,1005817
TRUSTCO BANK CORP/NY,TRST,357301
UNITED BANKSHARES INC/WV,UBSI,729986
UNITED FIRE GROUP INC,UFCS,101199
AMERISERV FINANCIAL INC/PA,ASRV,707605
NV5 GLOBAL INC,NVEE,1532961
PENNYMAC FINANCIAL SERVICES,PFSI,1745916
ARTESIAN RESOURCES  -CL A,ARTNA,863110
TETRAPHASE PHARMACEUTICALS,TTPH,1373707
AMERICAN NATL BANKSHARES,AMNB,741516
MARIN SOFTWARE INC,MRIN,1389002
PINGTAN MARINE ENTERPRISE,PME,1517130
BRIDGE BANCORP INC,BDGE,846617
INDEPENDENT BK GRP INC,IBTX,1564618
CHIMERIX INC,CMRX,1117480
CNB FINANCIAL CORP/PA,CCNE,736772
ARATANA THERAPEUTICS,PETX,1509190
FRANKLIN FINL NETWORK INC,FSB,1407067
RELIANT BANCORP INC,RBNC,1606440
